county_name,group,type,status,pop_num_est,pop_num_moe_90,wage_earners_num_est,wage_earners_num_moe_90,risk_earners_num_est,risk_earners_num_moe_90,households_est,households_moe_90,lost_wages_agg_monthly_est,lost_wages_agg_monthly_moe_90,ui_benefits_reg_agg_monthly_est,ui_benefits_reg_agg_monthly_moe_90,rent_monthly_tot_est,rent_monthly_tot_moe_90,rent_monthly_avg_est,rent_monthly_avg_moe_90,rent_need_tot_monthly_est,rent_need_tot_monthly_moe_90,rent_need_ui_reg_tot_monthly_est,rent_need_ui_reg_tot_monthly_moe_90
McLean,renter,ui,vulnerable,3555,1174.9193512662132,2499,981.7699303914364,1383.5,722.677205506382,1465.5,799.3585751811897,4734920.833333333,3995294.9648880316,1487864,992041.3113855598,1534424.5,892265.0649642008,1073.0073403284239,165.5946547634885,979177,709273.6187982638,797933.3333333334,637799.4004779026
McLean,renter,sevburden,vulnerable,693.5,466.3199967816536,299.5,288.43237102337207,245,265.1989466700614,223,243.86909567387892,102380.83333333333,124647.1217739015,24320,41760.95118492746,165899,169836.2305405921,691.9137380191694,64.90076184977443,71119.5,82586.88555294368,71119.5,82586.88555294368
McLean,renter,sevburden,,17938,3443.1212409281507,5349,1853.623242274699,245,264.7496667598708,8661,2290.632283884246,102380.83333333333,121953.20322852574,24320,40111.493021898226,8935738,3080040.128529355,1031.7212792980026,191.74469396817858,,,,
McLean,renter,noui,vulnerable,1631.5,781.4950856403843,1020,586.162022028039,681,502.8129926432862,638.5,467.59159710127756,1134830.8333333333,1156542.9454080884,0,0,598177,467067.99715190544,988.358847250807,258.02328961200965,248924.8333333333,243765.81505753228,248924.8333333333,243765.81505753228
McLean,renter,lt80ami,vulnerable,2015.5,908.8733968538072,1290.5,650.5169159852412,831.5,572.1609691013646,767,544.6173443166044,4179250,3954553.0550006824,1057388,948722.9988839829,949869,733316.9872078961,1326.708692680776,173.7680846004921,665060.3333333333,651285.4477386037,561174.6666666667,589357.7394402127
McLean,renter,lt80ami,,12297,2526.3188018211968,7854,1994.4221090240208,831.5,579.1051989645603,5684,1758.0950848691737,4179250,3964680.398699671,1057388,954874.5943726802,5574674,1752379.7487374526,980.7660098522167,106.31613591514883,,,,
McLean,owner,,,116333,5757.383930085372,61501,4283.929794757656,4667.5,1271.7345721186184,42633,3443.9035909251324,21098844.166666664,8740024.97207876,4267310,1679462.5836497191,0,0,0,0,,,,
McLean,renter,,vulnerable,5186.5,1406.3258096034206,3519,1138.844322420593,2064.5,881.9197222575999,2104,919.7228844715696,5869751.666666666,4169641.3908955976,1487864,997589.9436992444,2132601.5,1003318.4868952148,1014.9741066187282,162.87130962578544,1228101.8333333335,758168.7004196653,1046858.1666666667,689330.6540046218
McLean,renter,,,48249,5201.351416173602,23848,3550.3768484714565,2064.5,897.6949180487736,23365,3529.1573217163022,5869751.666666666,4209074.657393957,1487864,1010227.299025299,21494078,3976327.767843455,919.9263000213995,81.95888645461957,,,,
McLean,,,,164582,7767.4506362921675,85349,5565.111022687721,6732,1556.6764614143722,65998,4939.51965029593,26968595.833333336,9735567.136835366,5755174,1967479.4697377048,21494078,4067586.299239196,919.9263000213995,81.88765166310282,,,,
