county_name,type,rent_need_tot_monthly_est,rent_need_tot_monthly_moe_90,rent_need_ui_reg_tot_monthly_est,rent_need_ui_reg_tot_monthly_moe_90,rent_need_ui_all300_tot_monthly_est,rent_need_ui_all300_tot_monthly_moe_90
McLean,lt80ami_default,99523.33333333337,135903.84280341628,23460,39637.36985952498,23460,39637.36985952498
McLean,all_default,760062.8333333335,455440.0484574896,476847.3333333335,290795.6770345962,246131.16666666666,162823.18373308404
McLean,all_30cutoff,1209887.0000000002,988633.8477718977,990398.6666666669,903207.5259819856,875927,877649.7480335128
