county_name,group,type,status,pop_num_est,pop_num_moe_90,wage_earners_num_est,wage_earners_num_moe_90,risk_earners_num_est,risk_earners_num_moe_90,households_est,households_moe_90,lost_wages_agg_monthly_est,lost_wages_agg_monthly_moe_90,ui_benefits_reg_agg_monthly_est,ui_benefits_reg_agg_monthly_moe_90,rent_monthly_tot_est,rent_monthly_tot_moe_90,rent_monthly_avg_est,rent_monthly_avg_moe_90,rent_need_tot_monthly_est,rent_need_tot_monthly_moe_90,rent_need_ui_reg_tot_monthly_est,rent_need_ui_reg_tot_monthly_moe_90
McLean,renter,ui,vulnerable,4214.5,1426.152966,3112,1265.208007,1891,1032.612828,1581.5,909.5981627,5159129.167,3666232.578,1818362,1276605.411,1520053.5,879268.7747,960.2736392,174.8565286,1121101.5,799046.8327,898566.8333,672869.9144
McLean,renter,sevburden,vulnerable,1453,991.5339492,860,718.026465,612,624.6561439,555.5,539.2892815,442541.6667,505709.3023,150878,213870.4889,442775,469413.3125,769.7909071,110.5670121,344966.6667,396912.7981,264706.1667,291733.5551
McLean,renter,sevburden,,19935,3883.460061,5020,1548.644965,612,622.91186,8024,2125.364768,442541.6667,496876.1311,150878,206438.7491,8280072,2733403.359,1031.91326,169.572152,,,,
McLean,renter,noui,vulnerable,3228.5,1786.699879,1342.5,866.7687657,919,793.8641012,860.5,791.7679732,2884512.5,3739672.911,0,0,672346,561421.3961,797.4393729,187.3570168,408724,431552.625,408724,431552.625
McLean,renter,lt80ami,vulnerable,2261,915.714569,1684,822.1297278,785,562.0511878,669.5,509.1218285,3616708.333,3191070.224,892664,876039.1333,887405,632994.2092,1310.685682,206.7073508,373630.6667,416206.1905,269100.5,354065.6326
McLean,renter,lt80ami,,14895,2731.407392,11135,2547.87148,785,566.7755142,6891,1957.540458,3616708.333,3213700.497,892664,875659.7733,6431619,1765480.254,933.3360906,93.77235406,,,,
McLean,owner,,,107952,6199.347301,53019,4532.820267,4160,1262.099563,41747,3778.550979,15256101.67,6664571.46,2879802,1021012.037,0,0,0,0,,,,
McLean,renter,,vulnerable,7443,2304.401478,4454.5,1531.884326,2810,1305.876918,2442,1208.944185,8043641.667,5666274.869,1818362,1287017.279,2192399.5,1033209.802,903.1723432,163.9192374,1529825.5,913546.5056,1307290.833,810649.6631
McLean,renter,,,53850,5912.963465,26776,3801.385612,2810,1325.119232,23370,3569.607692,8043641.667,5731359.356,1818362,1301280.207,20992879,3642996.035,898.2832264,72.42298813,,,,
McLean,,,,161802,8589.018168,79795,5923.465219,6970,1856.96411,65117,5207.574323,23299743.33,8899836.408,4698164,1653708.845,20992879,3740311.18,898.2832264,72.35868808,,,,
