county_name,group,type,status,households_est,households_moe_90,lost_wages_agg_monthly_est,lost_wages_agg_monthly_moe_90,ui_benefits_reg_agg_monthly_est,ui_benefits_reg_agg_monthly_moe_90,ui_benefits_extra300_agg_monthly_est,ui_benefits_extra300_agg_monthly_moe_90,ui_benefits_all300_agg_monthly_est,ui_benefits_all300_agg_monthly_moe_90,rent_monthly_tot_est,rent_monthly_tot_moe_90,rent_monthly_avg_est,rent_monthly_avg_moe_90,rent_need_tot_monthly_est,rent_need_tot_monthly_moe_90,rent_need_ui_reg_tot_monthly_est,rent_need_ui_reg_tot_monthly_moe_90,rent_need_ui_all300_tot_monthly_est,rent_need_ui_all300_tot_monthly_moe_90
McLean,renter,ui,vulnerable,1082.5,643.050966404749,2176879.166666667,1477879.4399784245,913560,602906.5427863565,1299000,771661.1596856997,2212560,1304807.5796210775,1111834,685958.687014112,1062.821405074491,100.25906561727743,525969.8333333334,402166.8763312303,346283.66666666674,296491.2234872548,52881.500000000015,88323.71163118079
McLean,renter,sevburden,vulnerable,136,199.80805087056427,69895.83333333333,116682.53780206361,24320,42307.23557814577,38400,66800.8982812828,62720,109108.13385942858,105679,147748.27272710545,772.431654676259,26.728736818086873,43847.83333333334,71476.21731805927,43847.83333333334,71476.21731805927,13895.83333333334,24322.285359345504
McLean,renter,sevburden,NA,8661,2290.632283884246,69895.83333333333,110744.83263625337,24320,40111.493021898226,38400,63333.93635036668,62720,103445.42937226425,8935738,3080040.128529355,1031.7212792980026,191.74469396817858,NA,NA,NA,NA,NA,NA
McLean,renter,noui,vulnerable,756.5,610.4225845653373,2081845.8333333333,2221068.1827501403,0,0,0,0,0,0,849876,741638.6245067453,1124.4441907625608,339.76392731584133,440936.50000000006,497088.8025291778,440936.50000000006,497088.8025291778,440936.50000000006,497088.8025291778
McLean,renter,lt80ami,vulnerable,778,569.7875737758745,2846041.6666666665,2522151.096773405,516512,518457.74978102045,436200,406081.0073235992,952712,919994.1328271539,978721.5,761225.5554962324,1295.650247314867,195.0339853639025,482100.50000000006,545026.0222474891,379772.33333333343,488410.44552066753,285596.66666666674,455185.0007146755
McLean,renter,lt80ami,NA,5684,1758.0950848691737,2846041.6666666665,2542760.153982719,516512,517720.1897893769,436200,407422.65208361845,952712,920811.1946119373,5574674,1752379.7487374526,980.7660098522167,106.31613591514883,NA,NA,NA,NA,NA,NA
McLean,renter,NA,vulnerable,1839,875.4681381273131,4258725,2733710.8610177794,913560,608453.3532999293,1299000,781075.3746310452,2212560,1321343.5896375384,1961710,997489.4160141665,1076.4632169904364,168.63827204392805,966906.3333333335,666221.8514747433,787220.1666666667,603314.7994943175,493818.00000000006,502470.10133472615
McLean,renter,NA,NA,23365,3529.1573217163022,4258725,2779841.1417195676,913560,617198.6957906696,1299000,797127.5040127488,2212560,1348846.5664345818,21494078,3976327.767843455,919.9263000213995,81.95888645461957,NA,NA,NA,NA,NA,NA
